Date time,Wind (m/s),Tout (°C)
30. 01. 2018 22:20,0.2,1
30. 01. 2018 22:30,0.19,0.7
30. 01. 2018 22:40,0.23,0.4
30. 01. 2018 22:50,0.25,-0.1
30. 01. 2018 23:00,0.28,-0.3
30. 01. 2018 23:10,0.27,-0.3
30. 01. 2018 23:20,0.27,-0.3
30. 01. 2018 23:30,0.29,-0.3
30. 01. 2018 23:40,0.28,0
30. 01. 2018 23:50,0.23,0.1
31. 01. 2018 00:00,0.22,0.1
31. 01. 2018 00:10,0.26,0.2
31. 01. 2018 00:20,0.23,0.4
31. 01. 2018 00:30,0.3,0.5
31. 01. 2018 00:40,0.25,0.6
31. 01. 2018 00:50,0.32,0.7
31. 01. 2018 01:00,0.34,0.9
31. 01. 2018 01:10,0.28,0.9
31. 01. 2018 01:20,0.27,1
31. 01. 2018 01:30,0.25,1
31. 01. 2018 01:40,0.24,1.1
31. 01. 2018 01:50,0.26,1.1
31. 01. 2018 02:00,0.29,1.1
31. 01. 2018 02:10,0.28,1.2
31. 01. 2018 02:20,0.28,1.3
31. 01. 2018 02:30,0.27,1.5
31. 01. 2018 02:40,0.26,1.4
31. 01. 2018 02:50,0.28,1.6
31. 01. 2018 03:00,0.27,1.7
31. 01. 2018 03:10,0.33,1.8
31. 01. 2018 03:20,0.3,1.8
31. 01. 2018 03:30,0.29,1.9
31. 01. 2018 03:40,0.29,1.9
31. 01. 2018 03:50,0.3,1.9
31. 01. 2018 04:00,0.35,1.9
31. 01. 2018 04:10,0.33,2
31. 01. 2018 04:20,0.32,2.4
31. 01. 2018 04:30,0.3,2.7
31. 01. 2018 04:40,0.32,3.1
31. 01. 2018 04:50,0.32,3.5
31. 01. 2018 05:00,0.35,3.7
31. 01. 2018 05:10,0.37,3.8
31. 01. 2018 05:20,0.37,3.8
31. 01. 2018 05:30,0.4,3.8
31. 01. 2018 05:40,0.4,3.7
31. 01. 2018 05:50,0.4,3.9
31. 01. 2018 06:00,0.38,3.9
31. 01. 2018 06:10,0.37,3.9
31. 01. 2018 06:20,0.38,3.9
31. 01. 2018 06:30,0.37,4
31. 01. 2018 06:40,0.36,4
31. 01. 2018 06:50,0.34,4.1
31. 01. 2018 07:00,0.32,4.1
31. 01. 2018 07:10,0.34,4.1
31. 01. 2018 07:20,0.35,4.2
31. 01. 2018 07:30,0.35,4.2
31. 01. 2018 07:40,0.36,4.2
31. 01. 2018 07:50,0.34,4.1
31. 01. 2018 08:00,0.37,4.1
31. 01. 2018 08:10,0.35,4.1
31. 01. 2018 08:20,0.36,4.1
31. 01. 2018 08:30,0.34,4.2
31. 01. 2018 08:40,0.33,4.2
31. 01. 2018 09:10,0.35,4.3
31. 01. 2018 10:20,0.4,4.5
31. 01. 2018 10:50,0.41,4.3
31. 01. 2018 11:20,0.44,4.2
31. 01. 2018 12:50,0.48,4.6
31. 01. 2018 15:00,0.41,4.6
31. 01. 2018 15:10,0.42,4.7
31. 01. 2018 15:30,0.36,4.8
31. 01. 2018 15:40,0.37,4.8
31. 01. 2018 15:50,0.34,4.8
31. 01. 2018 16:10,0.37,4.7
31. 01. 2018 16:20,0.35,4.6
31. 01. 2018 16:30,0.34,4.5
31. 01. 2018 16:40,0.36,4.5
31. 01. 2018 16:50,0.36,4.6
31. 01. 2018 17:00,0.37,4.6
31. 01. 2018 17:10,0.39,4.6
31. 01. 2018 17:20,0.41,4.7
31. 01. 2018 18:30,0.43,5
1. 02. 2018 19:50,0.33,6.6
1. 02. 2018 20:40,0.35,6.5
1. 02. 2018 20:50,0.31,6.5
1. 02. 2018 22:30,0.27,7
1. 02. 2018 22:40,0.28,6.8
2. 02. 2018 00:40,0.32,5.8
2. 02. 2018 00:50,0.31,5.8
2. 02. 2018 01:00,0.3,5.7
2. 02. 2018 01:10,0.31,5.7
2. 02. 2018 03:20,0.33,5.5
2. 02. 2018 04:40,0.31,6
2. 02. 2018 05:10,0.28,6
2. 02. 2018 05:40,0.26,6
2. 02. 2018 05:50,0.25,5.9
2. 02. 2018 06:00,0.23,5.9
2. 02. 2018 06:10,0.23,5.9
2. 02. 2018 06:20,0.23,5.9
2. 02. 2018 06:30,0.2,5.8
2. 02. 2018 06:40,0.2,5.8
2. 02. 2018 06:50,0.21,5.8
2. 02. 2018 07:00,0.21,5.7
2. 02. 2018 07:10,0.15,5.7
2. 02. 2018 07:20,0.09,5.6
2. 02. 2018 07:30,-0.26,5.6
2. 02. 2018 07:40,-0.42,5
2. 02. 2018 11:10,0.08,0.3
3. 02. 2018 17:40,0.17,-0.7
3. 02. 2018 18:30,0.22,-0.7
3. 02. 2018 18:40,0.2,-0.8
3. 02. 2018 19:00,0.21,-0.7
3. 02. 2018 20:40,0.19,-0.8
3. 02. 2018 21:20,0.28,-0.7
3. 02. 2018 21:40,0.3,-0.8
3. 02. 2018 21:50,0.29,-0.8
3. 02. 2018 22:00,0.31,-0.8
3. 02. 2018 22:10,0.28,-0.8
3. 02. 2018 22:20,0.28,-0.8
3. 02. 2018 22:30,0.31,-0.8
3. 02. 2018 22:40,0.31,-0.8
3. 02. 2018 22:50,0.29,-0.8
3. 02. 2018 23:00,0.3,-0.8
3. 02. 2018 23:10,0.3,-0.8
3. 02. 2018 23:20,0.3,-0.8
3. 02. 2018 23:30,0.29,-0.8
3. 02. 2018 23:40,0.26,-0.8
3. 02. 2018 23:50,0.27,-0.8
4. 02. 2018 00:00,0.3,-0.8
4. 02. 2018 00:10,0.29,-0.8
4. 02. 2018 00:20,0.3,-0.8
4. 02. 2018 00:30,0.29,-0.8
4. 02. 2018 00:40,0.31,-0.9
4. 02. 2018 00:50,0.31,-1
4. 02. 2018 01:00,0.32,-1
4. 02. 2018 01:10,0.32,-1.2
4. 02. 2018 01:20,0.33,-1.3
4. 02. 2018 01:30,0.32,-1.4
4. 02. 2018 01:40,0.28,-1.5
4. 02. 2018 01:50,0.31,-1.8
4. 02. 2018 02:00,0.31,-1.6
4. 02. 2018 02:10,0.33,-1.6
4. 02. 2018 02:20,0.33,-1.5
4. 02. 2018 02:30,0.33,-1.5
4. 02. 2018 02:40,0.32,-1.6
4. 02. 2018 02:50,0.34,-1.7
4. 02. 2018 03:00,0.35,-1.6
4. 02. 2018 03:20,0.36,-1.6
4. 02. 2018 03:30,0.37,-1.6
4. 02. 2018 03:50,0.34,-1.5
4. 02. 2018 04:00,0.35,-1.7
4. 02. 2018 04:10,0.32,-1.6
4. 02. 2018 04:20,0.32,-1.6
4. 02. 2018 04:30,0.29,-1.6
4. 02. 2018 04:40,0.27,-1.6
4. 02. 2018 04:50,0.24,-1.6
4. 02. 2018 05:00,0.22,-1.6
4. 02. 2018 05:20,0.27,-1.5
4. 02. 2018 05:30,0.3,-1.6
4. 02. 2018 05:50,0.31,-1.5
4. 02. 2018 06:00,0.31,-1.7
4. 02. 2018 06:10,0.33,-1.9
4. 02. 2018 06:20,0.33,-2.1
4. 02. 2018 06:30,0.32,-2.3
4. 02. 2018 06:40,0.29,-2.4
4. 02. 2018 06:50,0.25,-2.4
4. 02. 2018 07:00,0.25,-2.4
4. 02. 2018 07:10,0.19,-2
4. 02. 2018 08:20,0.31,-1.6
4. 02. 2018 08:30,0.29,-1.6
4. 02. 2018 10:30,0.06,-0.8
4. 02. 2018 10:40,-0.11,-0.8
5. 02. 2018 16:20,0.1,-0.8
5. 02. 2018 16:30,0.11,-0.9
5. 02. 2018 16:40,0.12,-1.1
5. 02. 2018 16:50,0.09,-1.2
5. 02. 2018 17:00,0.14,-1.3
5. 02. 2018 17:20,0.15,-1.5
5. 02. 2018 17:30,0.12,-1.9
5. 02. 2018 18:10,0.12,-1.8
5. 02. 2018 18:20,0.13,-2
5. 02. 2018 18:30,0.17,-2.2
5. 02. 2018 18:40,0.16,-2.6
5. 02. 2018 18:50,0.18,-2.5
5. 02. 2018 19:00,0.12,-2.6
5. 02. 2018 19:10,0.11,-2.6
5. 02. 2018 19:30,0.08,-2.6
5. 02. 2018 19:40,0.14,-2.6
5. 02. 2018 19:50,0.11,-2.4
5. 02. 2018 20:00,0.11,-2.5
5. 02. 2018 20:10,0.1,-2.4
5. 02. 2018 20:30,0.12,-2.5
5. 02. 2018 20:40,0.13,-2.6
5. 02. 2018 20:50,0.09,-2.6
5. 02. 2018 21:20,0.11,-3
5. 02. 2018 21:30,0.1,-3.2
5. 02. 2018 21:40,0.07,-3.5
5. 02. 2018 21:50,0.11,-3.4
5. 02. 2018 22:00,0.08,-3.1
5. 02. 2018 22:10,0.11,-2.8
5. 02. 2018 22:50,0.11,-2.8
5. 02. 2018 23:10,0.14,-3
5. 02. 2018 23:30,0.16,-2.5
6. 02. 2018 00:00,0.16,-2.6
6. 02. 2018 00:30,0.07,-2.5
6. 02. 2018 00:50,0.08,-2.6
7. 02. 2018 23:30,0.15,-0.4
7. 02. 2018 23:40,0.13,-0.3
7. 02. 2018 23:50,0.11,-0.4
8. 02. 2018 00:00,0.1,-0.4
8. 02. 2018 00:10,0.19,-0.3
8. 02. 2018 00:20,0.25,-0.4
8. 02. 2018 00:30,0.28,-0.5
8. 02. 2018 00:40,0.29,-0.5
8. 02. 2018 00:50,0.28,-0.5
8. 02. 2018 01:00,0.24,-0.5
8. 02. 2018 01:10,0.22,-0.5
8. 02. 2018 01:20,0.18,-0.5
8. 02. 2018 01:30,0.09,-0.6
8. 02. 2018 01:40,0.08,-0.6
8. 02. 2018 01:50,0.08,-0.6
8. 02. 2018 02:00,0.1,-0.5
8. 02. 2018 02:10,0.16,-0.5
8. 02. 2018 02:20,0.21,-0.5
8. 02. 2018 02:30,0.25,-0.5
8. 02. 2018 02:40,0.24,-0.6
8. 02. 2018 02:50,0.24,-0.6
8. 02. 2018 03:00,0.26,-0.4
8. 02. 2018 03:10,0.31,-0.3
8. 02. 2018 03:20,0.24,-0.3
8. 02. 2018 03:30,0.07,-0.3
8. 02. 2018 03:40,0.09,-0.3
8. 02. 2018 04:30,0.07,-0.4
8. 02. 2018 04:40,0.08,-0.4
8. 02. 2018 05:00,0.14,-0.5
8. 02. 2018 05:10,0.1,-0.5
8. 02. 2018 05:30,0.18,-0.6
8. 02. 2018 05:50,0.07,-0.6
8. 02. 2018 06:10,0.07,-0.6
8. 02. 2018 06:20,0.08,-0.7
8. 02. 2018 06:30,-0.06,-0.8
8. 02. 2018 06:40,0.06,-0.8
8. 02. 2018 06:50,-0.03,-0.8
8. 02. 2018 07:00,-0.12,-0.7
8. 02. 2018 07:10,0.06,-0.9
8. 02. 2018 07:20,0.13,-1.2
8. 02. 2018 07:40,0.04,-1.4
8. 02. 2018 08:10,-0.13,-0.9
8. 02. 2018 08:20,-0.2,-0.9
8. 02. 2018 08:40,-0.06,-0.8
8. 02. 2018 09:00,0.05,-0.9
8. 02. 2018 09:10,-0.09,-0.8
8. 02. 2018 09:40,0.1,-0.5
8. 02. 2018 09:50,0.02,-0.4
8. 02. 2018 10:00,-0.1,-0.2
8. 02. 2018 10:10,-0.15,0
8. 02. 2018 10:20,-0.17,0.2
8. 02. 2018 12:00,-0.12,0.8
8. 02. 2018 12:10,-0.17,0.9
8. 02. 2018 12:20,-0.14,1.4
8. 02. 2018 12:30,-0.02,1.8
8. 02. 2018 12:40,-0.15,2
8. 02. 2018 12:50,-0.12,1.8
8. 02. 2018 13:00,-0.18,1.7
8. 02. 2018 13:10,-0.19,1.8
8. 02. 2018 13:30,-0.14,1.5
8. 02. 2018 13:40,0.02,1.5
8. 02. 2018 13:50,-0.14,1.5
8. 02. 2018 14:00,-0.16,1.5
8. 02. 2018 14:10,-0.2,1.5
8. 02. 2018 14:20,-0.16,1.6
8. 02. 2018 14:30,-0.1,1.6
8. 02. 2018 14:40,-0.11,1.6
8. 02. 2018 14:50,-0.15,1.5
8. 02. 2018 15:00,-0.13,1.5
8. 02. 2018 15:10,-0.04,1.6
8. 02. 2018 15:20,-0.12,1.6
8. 02. 2018 15:30,-0.04,1.5
8. 02. 2018 15:40,0.08,1.7
8. 02. 2018 15:50,0.05,1.9
8. 02. 2018 16:00,0.04,2
8. 02. 2018 16:10,-0.07,1.7
8. 02. 2018 16:20,-0.22,1.4
8. 02. 2018 16:30,-0.22,1.3
8. 02. 2018 16:40,-0.27,1.2
8. 02. 2018 16:50,-0.19,1.2
8. 02. 2018 17:00,0.07,1
8. 02. 2018 17:10,-0.15,1
8. 02. 2018 17:20,-0.21,0.9
8. 02. 2018 17:30,-0.17,0.8
8. 02. 2018 17:50,-0.2,0.6
8. 02. 2018 18:00,-0.11,0.7
8. 02. 2018 18:10,0.07,0.7
8. 02. 2018 18:20,0.11,0.7
8. 02. 2018 18:30,0.13,0.6
8. 02. 2018 18:40,0.12,0.6
8. 02. 2018 18:50,0.11,0.5
8. 02. 2018 19:00,0.09,0.4
8. 02. 2018 19:10,0.1,0.4
8. 02. 2018 19:20,0.1,0.2
8. 02. 2018 19:30,0.06,0.2
8. 02. 2018 19:40,0.1,0.3
8. 02. 2018 19:50,0.04,0.5
8. 02. 2018 20:00,0.07,0.5
8. 02. 2018 20:10,0.09,0.5
8. 02. 2018 20:20,-0.1,0.5
8. 02. 2018 20:30,-0.18,0.5
8. 02. 2018 20:40,-0.05,0.5
8. 02. 2018 20:50,0.07,0.3
8. 02. 2018 21:00,0.06,0.2
8. 02. 2018 21:10,-0.05,0.3
8. 02. 2018 21:20,0.04,0.3
8. 02. 2018 21:30,0.12,0.3
8. 02. 2018 21:40,0.14,0.2
8. 02. 2018 21:50,0.11,-0.1
8. 02. 2018 22:00,0.12,0.1
8. 02. 2018 22:10,0.04,0.1
8. 02. 2018 22:20,0.13,0.1
8. 02. 2018 22:30,0.09,0.1
8. 02. 2018 22:40,0.02,0.2
8. 02. 2018 22:50,-0.07,0.3
8. 02. 2018 23:30,0.02,0.3
8. 02. 2018 23:40,0.03,0.3
8. 02. 2018 23:50,0.02,0.3
9. 02. 2018 00:00,0.08,0.2
9. 02. 2018 00:10,0.13,0.2
9. 02. 2018 00:20,0.08,0.2
9. 02. 2018 00:30,0.07,0.2
9. 02. 2018 00:40,0.05,0.3
9. 02. 2018 00:50,0.15,0.3
9. 02. 2018 01:00,0.21,0.3
9. 02. 2018 01:10,0.19,0.2
9. 02. 2018 01:20,0.13,0.3
9. 02. 2018 01:30,0.07,0.2
9. 02. 2018 01:40,0.07,0.2
9. 02. 2018 01:50,0.17,0.2
9. 02. 2018 02:00,0.2,0.2
9. 02. 2018 02:10,0.15,0.2
9. 02. 2018 02:20,0.13,-0.2
9. 02. 2018 02:30,0.11,0
9. 02. 2018 02:40,0.13,0.2
9. 02. 2018 02:50,0.21,0.2
9. 02. 2018 03:00,0.14,0.1
9. 02. 2018 03:10,0.07,0
9. 02. 2018 03:20,0.08,0
9. 02. 2018 03:30,0.09,0.2
9. 02. 2018 03:40,0.08,0.3
9. 02. 2018 03:50,0.09,0.3
9. 02. 2018 04:00,0.14,0.1
9. 02. 2018 04:10,0.15,0
9. 02. 2018 04:20,0.14,0
9. 02. 2018 04:30,0.09,0.2
9. 02. 2018 04:40,0.08,0.3
9. 02. 2018 04:50,0.08,0.4
9. 02. 2018 05:10,0.02,0.5
9. 02. 2018 05:20,0.12,0.5
9. 02. 2018 05:30,0.07,0.5
9. 02. 2018 05:40,0.11,0.3
9. 02. 2018 05:50,0.09,0.2
9. 02. 2018 06:00,0.11,0.2
9. 02. 2018 06:10,0.12,0.2
9. 02. 2018 06:20,0.09,0.4
9. 02. 2018 06:30,0.01,0.5
9. 02. 2018 06:40,-0.15,0.5
9. 02. 2018 06:50,-0.16,0.5
9. 02. 2018 07:00,-0.09,0.4
9. 02. 2018 07:10,0.07,0.1
9. 02. 2018 07:20,0.2,-0.5
9. 02. 2018 07:30,0.16,-0.8
9. 02. 2018 07:40,0.24,-0.8
9. 02. 2018 07:50,0.24,-0.9
9. 02. 2018 08:00,0.21,-0.8
9. 02. 2018 08:10,0.16,-0.5
9. 02. 2018 08:20,0.11,-0.4
9. 02. 2018 08:30,0.19,-0.3
9. 02. 2018 08:40,0.16,0.1
9. 02. 2018 08:50,0.02,0.7
9. 02. 2018 09:10,-0.03,1.6
9. 02. 2018 09:20,0.15,1.9
9. 02. 2018 09:30,0.15,0.8
9. 02. 2018 09:40,0.04,0.6
9. 02. 2018 09:50,0.05,0.7
9. 02. 2018 10:00,-0.07,1
9. 02. 2018 10:10,-0.03,1.1
9. 02. 2018 10:40,-0.11,1.4
9. 02. 2018 18:40,0.06,0.8
9. 02. 2018 18:50,0.01,0.8
9. 02. 2018 19:00,0.07,0.8
9. 02. 2018 19:10,0.05,0.8
9. 02. 2018 19:20,-0.02,0.7
9. 02. 2018 19:30,0.06,0.5
9. 02. 2018 19:40,-0.02,0.5
9. 02. 2018 19:50,0.06,0.4
9. 02. 2018 20:00,0.02,0.4
9. 02. 2018 20:20,0.04,0.5
9. 02. 2018 21:00,0.03,0.4
9. 02. 2018 21:10,0.04,0.4
9. 02. 2018 21:30,0.05,0.4
9. 02. 2018 21:40,0.11,0.4
9. 02. 2018 22:00,0.08,0.5
9. 02. 2018 22:50,-0.05,0.4
10. 02. 2018 02:40,-0.1,0
10. 02. 2018 02:50,-0.04,0
10. 02. 2018 03:00,0.02,0
10. 02. 2018 03:50,-0.05,0.4
10. 02. 2018 04:00,0.04,0.3
10. 02. 2018 04:10,-0.03,0.3
10. 02. 2018 04:20,0.11,0.3
10. 02. 2018 04:30,0.15,0.3
10. 02. 2018 04:50,0.15,0.3
10. 02. 2018 05:00,0.15,0.3
10. 02. 2018 05:10,0.15,0.3
10. 02. 2018 05:30,0.15,0.3
10. 02. 2018 05:40,0.14,0.2
10. 02. 2018 05:50,0.16,0.3
10. 02. 2018 06:10,0.07,0.3
10. 02. 2018 06:20,0.08,0.2
10. 02. 2018 06:30,0.07,0.2
10. 02. 2018 06:40,-0.04,0.1
10. 02. 2018 07:50,0.17,0.2
10. 02. 2018 09:20,0.29,0.4
10. 02. 2018 09:40,0.24,0.5
10. 02. 2018 18:30,0.3,0
10. 02. 2018 19:10,0.32,-0.3
10. 02. 2018 19:20,0.3,-0.4
10. 02. 2018 21:20,0.32,-1.1
11. 02. 2018 02:20,0.28,-1.9
11. 02. 2018 07:30,0.26,-1.8
11. 02. 2018 10:30,0.31,-0.6
11. 02. 2018 12:10,0.29,1.1
11. 02. 2018 12:20,0.24,2.4
11. 02. 2018 12:50,0.27,1.7
11. 02. 2018 13:10,0.3,2.2
11. 02. 2018 15:40,0.26,1.5
11. 02. 2018 15:50,0.26,1.5
11. 02. 2018 17:10,0.23,0.7
11. 02. 2018 17:20,0.25,0.3
11. 02. 2018 17:30,0.27,-0.1
11. 02. 2018 17:40,0.27,-0.4
11. 02. 2018 17:50,0.27,-0.9
11. 02. 2018 18:00,0.25,-1.2
11. 02. 2018 18:10,0.25,-1.3
11. 02. 2018 18:20,0.26,-1.4
11. 02. 2018 18:30,0.24,-1.5
11. 02. 2018 18:40,0.26,-1.5
11. 02. 2018 18:50,0.27,-1.5
11. 02. 2018 19:00,0.28,-1.6
11. 02. 2018 19:10,0.32,-1.6
11. 02. 2018 19:20,0.31,-1.7
11. 02. 2018 19:30,0.33,-1.8
11. 02. 2018 19:40,0.33,-1.9
11. 02. 2018 19:50,0.3,-1.9
11. 02. 2018 20:00,0.3,-1.9
11. 02. 2018 20:10,0.29,-1.9
11. 02. 2018 20:20,0.29,-1.9
11. 02. 2018 20:30,0.29,-2.2
11. 02. 2018 20:40,0.28,-2.4
11. 02. 2018 20:50,0.3,-2.6
11. 02. 2018 21:00,0.32,-2.8
11. 02. 2018 21:10,0.32,-2.9
11. 02. 2018 21:20,0.36,-3.3
11. 02. 2018 21:30,0.37,-3.4
11. 02. 2018 21:40,0.33,-3.5
11. 02. 2018 21:50,0.37,-3.8
11. 02. 2018 22:00,0.33,-3.9
11. 02. 2018 22:10,0.34,-3.9
11. 02. 2018 22:20,0.29,-3.8
11. 02. 2018 22:30,0.31,-3.9
11. 02. 2018 22:40,0.35,-4.4
11. 02. 2018 22:50,0.36,-4.6
11. 02. 2018 23:00,0.35,-4.8
11. 02. 2018 23:10,0.38,-5.2
11. 02. 2018 23:20,0.43,-5.1
11. 02. 2018 23:30,0.42,-5.2
11. 02. 2018 23:40,0.37,-5.4
11. 02. 2018 23:50,0.41,-5.7
12. 02. 2018 00:00,0.36,-5.7
12. 02. 2018 00:10,0.35,-5.7
12. 02. 2018 00:20,0.37,-5.8
12. 02. 2018 00:30,0.4,-5.6
12. 02. 2018 00:40,0.4,-5.9
12. 02. 2018 00:50,0.36,-6.3
12. 02. 2018 01:00,0.4,-6.5
12. 02. 2018 01:10,0.4,-6.5
12. 02. 2018 01:20,0.41,-6.5
12. 02. 2018 01:30,0.46,-6.6
12. 02. 2018 01:40,0.43,-6.9
12. 02. 2018 01:50,0.44,-6.9
12. 02. 2018 02:00,0.43,-6.7
12. 02. 2018 02:10,0.43,-6.7
12. 02. 2018 02:20,0.44,-6.7
12. 02. 2018 02:30,0.46,-6.9
12. 02. 2018 02:40,0.46,-7.1
12. 02. 2018 02:50,0.42,-6.9
12. 02. 2018 03:00,0.42,-6.7
12. 02. 2018 03:10,0.45,-6.6
12. 02. 2018 03:20,0.47,-6.4
12. 02. 2018 03:30,0.46,-6.4
12. 02. 2018 03:40,0.45,-6.3
12. 02. 2018 03:50,0.4,-6.4
12. 02. 2018 04:00,0.42,-6.3
12. 02. 2018 04:10,0.39,-6.2
12. 02. 2018 04:20,0.41,-6.2
12. 02. 2018 04:30,0.41,-6.2
12. 02. 2018 04:40,0.43,-6.2
12. 02. 2018 04:50,0.46,-6.1
12. 02. 2018 05:00,0.41,-5.9
12. 02. 2018 05:10,0.44,-5.9
12. 02. 2018 05:20,0.42,-5.8
12. 02. 2018 05:30,0.43,-5.8
12. 02. 2018 05:40,0.46,-5.7
12. 02. 2018 05:50,0.41,-5.7
12. 02. 2018 06:00,0.41,-5.5
12. 02. 2018 06:10,0.43,-5.5
12. 02. 2018 06:20,0.47,-5.5
12. 02. 2018 06:30,0.49,-5.4
12. 02. 2018 06:40,0.5,-5.4
12. 02. 2018 06:50,0.37,-5.3
12. 02. 2018 07:00,0.34,-5.1
12. 02. 2018 07:10,0.36,-5.1
12. 02. 2018 07:20,0.37,-5.1
12. 02. 2018 07:30,0.44,-5.1
12. 02. 2018 07:40,0.43,-5
12. 02. 2018 07:50,0.48,-4.9
12. 02. 2018 08:00,0.43,-4.8
12. 02. 2018 08:10,0.45,-4.6
12. 02. 2018 08:20,0.41,-4.6
12. 02. 2018 08:30,0.37,-4.4
12. 02. 2018 08:40,0.39,-4.3
12. 02. 2018 08:50,0.32,-4.1
12. 02. 2018 09:00,0.24,-3.9
12. 02. 2018 09:10,0.23,-3.4
12. 02. 2018 09:40,0.21,-2.6
12. 02. 2018 11:00,0.27,-1.5
12. 02. 2018 11:10,0.25,-1.3
12. 02. 2018 11:20,0.22,-1.1
12. 02. 2018 11:30,0.22,-0.9
12. 02. 2018 14:00,0.24,-0.5
12. 02. 2018 14:10,0.21,-0.4
12. 02. 2018 14:20,0.17,-0.4
12. 02. 2018 14:40,0.04,-0.5
12. 02. 2018 15:10,0.17,-0.7
12. 02. 2018 15:20,0.28,-0.8
12. 02. 2018 15:30,0.26,-0.8
12. 02. 2018 15:40,0.25,-0.9
13. 02. 2018 13:20,0.28,-0.8
13. 02. 2018 13:40,0.24,-0.8
13. 02. 2018 15:00,0.27,-0.9
13. 02. 2018 15:10,0.26,-0.8
13. 02. 2018 15:20,0.24,-0.7
13. 02. 2018 15:30,0.27,-0.6
13. 02. 2018 15:40,0.26,-0.6
13. 02. 2018 18:00,0.23,-1.6
13. 02. 2018 18:10,0.26,-1.7
13. 02. 2018 18:20,0.28,-1.8
13. 02. 2018 18:30,0.26,-1.8
13. 02. 2018 18:40,0.28,-1.9
13. 02. 2018 18:50,0.31,-2.2
13. 02. 2018 19:00,0.32,-2.3
13. 02. 2018 19:10,0.29,-2.7
13. 02. 2018 19:20,0.29,-2.7
13. 02. 2018 19:30,0.31,-2.5
13. 02. 2018 19:40,0.31,-2.6
13. 02. 2018 19:50,0.34,-2.7
13. 02. 2018 20:10,0.35,-2.8
13. 02. 2018 20:20,0.35,-3.1
13. 02. 2018 20:30,0.34,-3.3
13. 02. 2018 20:40,0.35,-3.5
13. 02. 2018 20:50,0.35,-3.5
13. 02. 2018 21:00,0.34,-3.5
13. 02. 2018 21:10,0.35,-3.4
13. 02. 2018 21:20,0.35,-3.5
13. 02. 2018 21:30,0.32,-3.5
13. 02. 2018 21:40,0.33,-3.3
13. 02. 2018 21:50,0.36,-3.1
13. 02. 2018 22:00,0.37,-3.3
13. 02. 2018 22:10,0.39,-3.3
13. 02. 2018 22:20,0.37,-3.4
13. 02. 2018 22:30,0.36,-3.5
13. 02. 2018 22:40,0.35,-3.8
13. 02. 2018 22:50,0.37,-4.3
13. 02. 2018 23:00,0.38,-4.5
13. 02. 2018 23:10,0.41,-4.6
13. 02. 2018 23:20,0.39,-4.7
13. 02. 2018 23:30,0.41,-4.8
13. 02. 2018 23:40,0.4,-4.6
13. 02. 2018 23:50,0.4,-4.7
14. 02. 2018 00:00,0.41,-4.6
14. 02. 2018 00:10,0.4,-4.8
14. 02. 2018 00:20,0.41,-4.7
14. 02. 2018 00:30,0.42,-5.1
14. 02. 2018 00:40,0.42,-5.4
14. 02. 2018 00:50,0.39,-5.6
14. 02. 2018 01:00,0.39,-5.9
14. 02. 2018 01:10,0.4,-6.6
14. 02. 2018 01:20,0.38,-6.8
14. 02. 2018 01:30,0.39,-6.5
14. 02. 2018 01:40,0.33,-5.9
14. 02. 2018 01:50,0.33,-6.2
14. 02. 2018 02:00,0.32,-6.2
14. 02. 2018 02:10,0.34,-5.7
14. 02. 2018 02:20,0.35,-6.2
14. 02. 2018 02:30,0.36,-6.2
14. 02. 2018 02:40,0.39,-5.8
14. 02. 2018 02:50,0.38,-5.9
14. 02. 2018 03:00,0.38,-5.6
14. 02. 2018 03:10,0.36,-5.3
14. 02. 2018 03:20,0.35,-5.3
14. 02. 2018 03:30,0.33,-5.3
14. 02. 2018 03:40,0.32,-5.5
14. 02. 2018 03:50,0.31,-5.9
14. 02. 2018 04:00,0.27,-5.8
14. 02. 2018 04:10,0.29,-6.3
14. 02. 2018 04:20,0.28,-6.8
14. 02. 2018 04:30,0.33,-6.8
14. 02. 2018 04:40,0.36,-6.6
14. 02. 2018 04:50,0.35,-5.8
14. 02. 2018 05:10,0.3,-5.2
14. 02. 2018 05:20,0.32,-5
14. 02. 2018 05:30,0.33,-4.8
14. 02. 2018 05:40,0.32,-4.9
14. 02. 2018 06:00,0.31,-5
14. 02. 2018 06:10,0.29,-5
14. 02. 2018 06:20,0.36,-5.1
14. 02. 2018 06:30,0.34,-5.2
14. 02. 2018 06:40,0.33,-5.2
14. 02. 2018 07:20,0.31,-5.8
14. 02. 2018 07:30,0.35,-6
14. 02. 2018 07:40,0.33,-6.3
14. 02. 2018 07:50,0.29,-6.2
14. 02. 2018 08:00,0.26,-6.1
14. 02. 2018 08:10,0.3,-6.1
14. 02. 2018 08:20,0.31,-6
14. 02. 2018 08:30,0.34,-5.8
14. 02. 2018 08:40,0.31,-5.7
14. 02. 2018 08:50,0.25,-5.6
14. 02. 2018 09:00,0.3,-5.4
14. 02. 2018 09:10,0.32,-5.2
14. 02. 2018 09:20,0.34,-4.9
14. 02. 2018 10:00,0.33,-4.4
14. 02. 2018 10:20,0.37,-4.1
14. 02. 2018 11:00,0.38,-2.5
14. 02. 2018 11:30,0.36,-1.6
14. 02. 2018 11:40,0.34,-1.6
14. 02. 2018 11:50,0.36,-1.1
14. 02. 2018 12:00,0.35,-0.9
14. 02. 2018 12:10,0.33,-0.6
14. 02. 2018 12:20,0.32,0
